0.8898132610	berge
0.8898119678	observatory
0.8898008869	möbius
0.8897822369	graz
0.8897215854	insar
0.8897120532	squirrel
0.8896537127	athena
0.8896169683	erlang
0.8896130974	gu
0.8896126401	gbps
0.8896123274	guha
0.8895999733	pfam
0.8895862044	lotus
0.8895778252	castle
0.8895488231	americans
0.8894871369	inp
0.8894566214	malaysia
0.8894483082	dell
0.8894460990	prom
0.8894417279	shogi
0.8894267524	bittorrent
0.8894079621	telco
0.8893541980	mart
0.8893455054	una
0.8892734408	aqua
0.8892305638	fig
0.8891993887	safari
0.8891941663	marte
0.8891716799	alan
0.8891156424	archimedean
0.8891071861	jean
0.8890564732	yao
0.8889880975	yang
0.8889816166	oberon
0.8889755543	mesa
0.8889547516	aspectj
0.8889455138	lucid
0.8889415196	sen
0.8889356897	andrew
0.8889355977	hive
0.8889278067	modelica
0.8889260186	roger
0.8889259124	pert
0.8889232409	postgres
0.8888962960	teragrid
0.8888801087	dagger
0.8887956998	appl
0.8887952290	waveguides
0.8887693119	unicore
0.8887687838	mesoscale
0.8887670369	donald
0.8887652040	mitsubishi
0.8887643981	baroque
0.8887117212	glow
0.8886963894	wu
0.8886909608	grape
0.8886792799	microblog
0.8886651333	prejudice
0.8886445017	gomory
0.8886423632	genesis
0.8886222734	sicht
0.8886189706	hom
0.8886072455	seabed
0.8885845311	raptor
0.8885784011	dragon
0.8885779879	bioinspired
0.8885700524	gov
0.8885452824	meme
0.8884914729	lee
0.8884623589	excel
0.8884616798	albert
0.8884134389	forschung
0.8883824102	ash
0.8883758658	davis
0.8883739053	west
0.8883647579	aibo
0.8883612919	civic
0.8883520304	ambulatory
0.8883496055	amnesia
0.8883477717	multicomputers
0.8883417583	cardinals
0.8883312838	austin
0.8882531706	comet
0.8882486541	capon
0.8882275919	simpson
0.8882237262	vienna
0.8882090946	nova
0.8881973042	enigma
0.8881536445	compass
0.8881354036	edward
0.8881232402	maria
0.8881111794	rec
0.8880852493	ethernet
0.8880695888	zheng
0.8880620138	salsa
0.8880512846	guo
0.8880445288	scarf
0.8880265988	costa
0.8879873665	thomas
0.8879742650	smalltalk
0.8879614808	nilpotent
0.8879424796	descartes
0.8879300100	autopilot
0.8879265360	hungarian
0.8879093755	bat
0.8878982639	ore
0.8878886108	cplex
0.8878847906	armstrong
0.8878610246	collins
0.8878360782	f1
0.8877855092	devil
0.8877675549	apple
0.8877601553	george
0.8877593330	groupwise
0.8877175694	fq
0.8877157435	pest
0.8876926320	stan
0.8876611213	pediatric
0.8876424131	symp
0.8875669483	binder
0.8875471251	ku
0.8875411656	penguin
0.8875408988	leon
0.8875389979	cho
0.8875340610	treebank
0.8875279278	loom
0.8875135853	linpack
0.8874984005	flickr
0.8874827900	bibliography
0.8874810343	homo
0.8874695759	prism
0.8874683213	shark
0.8874587261	ben
0.8874517750	sapphire
0.8874394383	trojans
0.8874000232	tk
0.8873252127	speechdat
0.8873131666	mary
0.8872694113	infiniband
0.8872669118	bernoulli
0.8872636424	python
0.8872502073	quaternion
0.8872407264	rams
0.8871801126	gnat
0.8871758072	chu
0.8871191213	ingaas
0.8870989789	wei
0.8870868965	cobol
0.8870196603	crane
0.8869780904	lex
0.8869543138	clifford
0.8869466003	alma
0.8869239727	scala
0.8869157083	marc
0.8869090313	centaur
0.8868797898	xcsf
0.8868770514	orc
0.8868592991	silk
